,Screen Name,Real Name,Text,Date,Negative sentiment scores,Positive sentiment scores,Neutral sentiment scores,Compound sentiment scores,Tweets ago
0,,,,,,,,,
1,BBC,BBC,"😂 @RomeshRanga really REALLY can't stand Gogglebox. #LiveAtTheApollo

https://t.co/IMrhnETAg7",Sat Jul 21 18:02:06 +0000 2018,0.114,0.228,0.659,0.4404,1.0
2,BBC,BBC,"How being drawn naked helped these women reclaim their bodies. 
(via @BBCThree) https://t.co/h22GymBo6O",Sat Jul 21 17:05:05 +0000 2018,0.0,0.0,1.0,0.0,2.0
3,BBC,BBC,Was the 😊the first emoticon? https://t.co/3eZwRPDqbJ,Sat Jul 21 16:04:04 +0000 2018,0.0,0.0,1.0,0.0,3.0
4,BBC,BBC,RT @BBCR1: From @ShawnMendes and @NiallOfficial to @DUALIPA and @ArianaGrande; 10 massive pop collabs we NEED to hear right now 👉 https://t…,Sat Jul 21 15:04:19 +0000 2018,0.0,0.0,1.0,0.0,4.0
5,BBC,BBC,👰🎊🤵 @reallorraine and @robbeckettcomic host as two couples play for dream prizes and a chance to get married in fro… https://t.co/JOaddKsXdr,Sat Jul 21 15:04:02 +0000 2018,0.0,0.37,0.63,0.8126,5.0
6,BBC,BBC,A huge iceberg is looming over a village in Greenland. https://t.co/sDLtIq41Fj,Sat Jul 21 14:03:06 +0000 2018,0.139,0.213,0.648,0.2023,6.0
7,BBC,BBC,"Would you consider becoming a hedgehog foster parent? 🦔 💕

https://t.co/qTzxBdTy1B",Sat Jul 21 13:03:08 +0000 2018,0.0,0.0,1.0,0.0,7.0
8,BBC,BBC,"Maths, science, history and... death? 🎒📚🤔

Death could be added to the school timetable in Australia. 👉… https://t.co/l6jEPAaK64",Sat Jul 21 12:03:05 +0000 2018,0.328,0.0,0.672,-0.8316,8.0
9,BBC,BBC,"🏃🏃‍♀️ @GabbyLogan presents live coverage from the first day of the #AnniversaryGames at the London Stadium.

Athlet… https://t.co/KD8QAeSMnA",Sat Jul 21 11:16:04 +0000 2018,0.0,0.0,1.0,0.0,9.0
10,BBC,BBC,🏃This 88-year-old runner has celebrated his 200th Parkrun in Manchester. https://t.co/9yG6L3bCye,Sat Jul 21 10:10:07 +0000 2018,0.0,0.27,0.73,0.5719,10.0
11,BBC,BBC,"Amazing innovation 💡
A family in France has become the first to move in to a 3D-printed house. https://t.co/FYDtNW19PL",Sat Jul 21 09:03:03 +0000 2018,0.0,0.286,0.714,0.7506,11.0
12,BBC,BBC,🇱🇰 The Sri Lankan schoolgirl turned inventor trying to save the planet one lunchbox at a time. https://t.co/RZlJolph79,Sat Jul 21 09:02:04 +0000 2018,0.0,0.158,0.842,0.4939,12.0
13,BBC,BBC,RT @bbcweather: In Pictures: The dramatic effect of the UK heatwave https://t.co/xmdTbUlpTy Jo https://t.co/mKIjUw8Yhs,Sat Jul 21 08:32:20 +0000 2018,0.0,0.0,1.0,0.0,13.0
14,BBC,BBC,"""I was training and missed it. I cried.""  ❤️️

@serenawilliams has opened up about missing her baby's first steps.… https://t.co/h7B11Zrvxy",Sat Jul 21 08:03:05 +0000 2018,0.206,0.0,0.794,-0.5267,14.0
15,BBC,BBC,"Should we be allowed to modify human DNA in future children? 🔬

An inquiry has found editing human embryos 'morally… https://t.co/ym7J8WiOLt",Sat Jul 21 07:03:03 +0000 2018,0.0,0.0,1.0,0.0,15.0
16,BBC,BBC,From honeymoon horror to a dine and dash: this is what happens when holiday romances go wrong. 🏝😳💔… https://t.co/o0skuAQ21P,Fri Jul 20 19:02:04 +0000 2018,0.264,0.194,0.543,-0.4215,16.0
17,BBC,BBC,🏥🎶 Every member of this choir is here on doctor's orders. https://t.co/5GLpzwPzwU,Fri Jul 20 18:03:08 +0000 2018,0.0,0.0,1.0,0.0,17.0
18,BBC,BBC,"📺 @louistheroux dives into the BBC Archives and selects his favourite documentaries.

Louis Theroux: Docs That Made… https://t.co/Hun3M35ZEQ",Fri Jul 20 17:02:06 +0000 2018,0.0,0.0,1.0,0.0,18.0
19,BBC,BBC,Actual footage of me leaving work for the weekend and not looking back... 👋 #FridayFeeling https://t.co/Ppg3Qk7fj3,Fri Jul 20 15:59:00 +0000 2018,0.0,0.167,0.833,0.4939,19.0
20,BBC,BBC,"RT @BBCBreaking: Several people wounded in knife attack on bus in northern German city of Luebeck, reports say https://t.co/SS7enQBT3h",Fri Jul 20 14:56:18 +0000 2018,0.147,0.0,0.853,-0.4767,20.0
21,BBC,BBC,"RT @BBCWomansHour: It's not easy, it can be uncomfortable &amp; nerve racking...📣 so why speak out? @charlottechurch tells us what drives her t…",Fri Jul 20 14:53:06 +0000 2018,0.192,0.0,0.808,-0.6131,21.0
22,BBC,BBC,RT @BBCWomansHour: What does @KatiePrice have to say to her critics? She tells us what pushes her to keep going even when she feels under a…,Fri Jul 20 14:52:46 +0000 2018,0.081,0.0,0.919,-0.296,22.0
23,BBC,BBC,"A can of lager and a packet of custard creams are the secret to a long life for Eileen, a Blackpool woman celebrati… https://t.co/y5KL6atB0O",Fri Jul 20 14:31:04 +0000 2018,0.0,0.0,1.0,0.0,23.0
24,BBC,BBC,"RT @BBCNewsround: Did you know there are 25,000 children addicted to gambling in Britain? Find out more about gambling, gaming and why it i…",Fri Jul 20 13:35:41 +0000 2018,0.0,0.0,1.0,0.0,24.0
25,BBC,BBC,"David Attenborough wants you to get out a chair and spot some 🦋🦋🦋 

And you can't say no to such a legend...… https://t.co/PKWvebWrHz",Fri Jul 20 13:33:22 +0000 2018,0.0,0.086,0.914,0.2235,25.0
